       1       1     708      42     262      83     321
       1       0    9314     624    2969    2079    3642
       2       1     941      66     270      13     592
       2       0   11943     731    2924     365    7923
       3       1     815      50     251      14     500
       3       0   11109     543    2778     575    7213
       4       1     805      28     129       1     647
       4       0   11704     337    1482     210    9675
       5       1    1019       2      14       0    1003
       5       0   14536      25     171      30   14310
       6       1     562      33     120      62     347
       6       0    9277     336    1802    1448    5691
       7       1     533      18      43       2     470
       7       0    8056     186     769      64    7037
       8       1     587       5      39       8     535
       8       0   10914      86     315     399   10114
       9       1      95       2      15       0      78
       9       0    2451      41     172      12    2226
