       1       1       1       1      11
       1       1       1       2      23
       1       1       2       1      15
       1       1       2       2      69
       1       2       1       1      15
       1       2       1       2       5
       1       2       2       1      19
       1       2       2       2       3
       2       1       1       1      14
       2       1       1       2      26
       2       1       2       1      25
       2       1       2       2      65
       2       2       1       1       5
       2       2       1       2       5
       2       2       2       1      23
       2       2       2       2       5
       3       1       1       1       9
       3       1       1       2      24
       3       1       2       1      14
       3       1       2       2      58
       3       2       1       1       4
       3       2       1       2       2
       3       2       2       1      10
       3       2       2       2       8
