Afghans         1 1
Aleut           1 1
Chagga          1 1
Hadhramaut      1 1
Hottentot       1 1
Tlingit         1 1
Yahgan          1 1
Iran            1 2
Creek           2 1
Nahane          2 1
Pawnee          2 1
Plateau Yumans  2 1
Twi             2 1
Abipon          2 2
Burmese         2 2 
Callinago       2 2
Khasi           2 2
Mandan          2 2
Mosguito        2 2
Thai            2 2
Tupinamba       2 2
