Pre 3000 B.C.           1       1      35
Pre 3000 B.C.           1       2       4
2000 B.C.               2       1      44
2000 B.C.               2       2       7
1000 B.C.               3       1      89
1000 B.C.               3       2      10
500 B.C.                4       1     133
500 B.C.                4       2       9
~0 B.C.                 5       1     130
~0 B.C.                 5       2       4
A.D. 500                6       1      39
A.D. 500                6       2       3
A.D. 1000               7       1      57
A.D. 1000               7       2       7
A.D. 1200               8       1      40
A.D. 1200               8       2       1
A.D. 1400               9       1      44
A.D. 1400               9       2       6
A.D. 1500              10       1      63
A.D. 1500              10       2       5
A.D. 1600              11       1      68
A.D. 1600              11       2       4
A.D. 1700              12       1      66
A.D. 1700              12       2       5
A.D. 1800              13       1      95
A.D. 1800              13       2       6
A.D. 1850              14       1      38
A.D. 1850              14       2       1
A.D. 1900              15       1      71
A.D. 1900              15       2       6
A.D. 1950              16       1      80
A.D. 1950              16       2      10
