       1       1       0     786
       1       0       0   30757
       1       1       1       5
       1       0       1     193
       2       1       0    2122
       2       0       0   37113
       2       1       1       8
       2       0       1     770
       3       1       0     148
       3       0       0     481
       3       1       1       2
       3       0       1      58
       4       1       0     330
       4       0       0     368
       4       1       1       1
       4       0       1      13
       5       1       0     219
       5       0       0    6690
       5       1       1       5
       5       0       1      65
       6       1       0    2192
       6       0       0    7940
       6       1       1      15
       6       0       1     173
