       1       0       0      18
       2       0       0       9
       3       0       0       6
       4       0       0       5
       5       0       0       5
       1       1       0      11
       2       1       0      15
       3       1       0      13
       4       1       0       5
       5       1       0       4
       1       0       1       4
       2       0       1       5
       3       0       1       9
       4       0       1       5
       5       0       1       1
       1       1       1      33
       2       1       1      37
       3       1       1      59
       4       1       1      29
       5       1       1       5
