       1       0       0       0      79      56
       1       0       0       1      40      63
       2       1       0       0     104      95
       2       1       0       1      14      23
       3       0       1       0      81      52
       3       0       1       1      43      72
       4       1       1       0     108      87
       4       1       1       1      18      39
